id_artiste,nom_artiste,popularite,date_effet
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:30:18.980169
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,85,2022-09-07 15:30:19.636929
6vWDO969PvNqNYHIOW5v0m,Beyoncé,88,2022-09-07 15:30:20.298927
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,2022-09-07 15:30:21.012006
2YOYua8FpudSEiB9s88IgQ,Yung Gravy,75,2022-09-07 15:30:21.623665
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,82,2022-09-07 15:30:22.153820
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,90,2022-09-07 15:30:22.839291
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,80,2022-09-07 15:30:23.372857
3wcj11K77LjEY1PkEazffa,Burna Boy,81,2022-09-07 15:30:23.962184
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,83,2022-09-07 15:30:24.675297
1RyvyyTE3xzB2ZywiAwp0i,Future,88,2022-09-07 15:30:25.305131
7tYKF4w9nC0nq9CsPZTHyP,SZA,82,2022-09-07 15:30:25.988997
3MZsBdqDrRTJihTHQrO6Dq,Joji,85,2022-09-07 15:30:26.629164
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,83,2022-09-07 15:30:27.311439
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,88,2022-09-07 15:30:28.032424
5CiGnKThu5ctn9pBxv7DGa,benny blanco,77,2022-09-07 15:30:28.643259
3Nrfpe0tUJi4K4DXYWgMUX,BTS,91,2022-09-07 15:30:29.333436
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,84,2022-09-07 15:30:29.975929
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,2022-09-07 15:30:30.609843
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,81,2022-09-07 15:30:31.185166
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,82,2022-09-07 15:30:31.896556
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88,2022-09-07 15:30:32.460790
1RyvyyTE3xzB2ZywiAwp0i,Future,88,2022-09-07 15:30:33.093349
3TVXtAsR1Inumwj472S9r4,Drake,95,2022-09-07 15:30:33.803231
687cZJR45JO7jhk1LHIbgq,Tems,77,2022-09-07 15:30:34.356505
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,90,2022-09-07 15:30:35.047608
6HvZYsbFfjnjFrWF950C9d,NewJeans,75,2022-09-07 15:30:35.647365
2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,73,2022-09-07 15:30:36.179927
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,75,2022-09-07 15:30:36.822832
7CajNmpbOovFoOoasH2HaY,Calvin Harris,85,2022-09-07 15:30:37.719907
31TPClRtHm23RisEBtV3X7,Justin Timberlake,80,2022-09-07 15:30:38.251235
26VFTg2z8YR0cCuwLzESi2,Halsey,83,2022-09-07 15:30:39.032156
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,81,2022-09-07 15:30:39.607119
6vWDO969PvNqNYHIOW5v0m,Beyoncé,88,2022-09-07 15:30:40.150637
43BxCL6t4c73BQnIJtry5v,James Hype,75,2022-09-07 15:30:40.821492
45ruzGUmIr8WLjLOPJ9mGU,Miggy Dela Rosa,73,2022-09-07 15:30:41.387478
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,90,2022-09-07 15:30:42.067696
